Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
57984.047  1.518 EFOSC2      NTT         V       18.18  0.10  0.00 2017arXiv171005443D *         
57984.047  1.518 E2V4kx4kccd Swope       r       17.98  0.02  0.00 2017arXiv171005452C *         
57984.048  1.519 EFOSC2      NTT         U       20.11  0.23  0.00 2017arXiv171005443D     R     
57984.048  1.519 EFOSC2      NTT         U       20.25  0.29  0.00 2017Natur.551...75S     R     
57984.052  1.523 EFOSC2      NTT         U       20.21  0.28  0.00 2017arXiv171005443D     R     
57984.052  1.523 EFOSC2      NTT         U       20.18  0.23  0.00 this paper          * A       
57984.052  1.523 UVOT        Swift       M2    > 22.07        0.00 2017arXiv171005437E *         
57984.055  1.526 E2V4kx4kccd Swope       g       18.49  0.12  0.00 2017arXiv171005452C *         
57984.056  1.527 EFOSC2      NTT         U       20.10  0.28  0.00 2017arXiv171005443D *         
57984.058  1.529 UVOT        Swift       W1    > 21.20        0.00 2017arXiv171005437E *         
57984.229  1.700 HSC         Subaru      z       17.74  0.01  0.00 2017arXiv171005848U *         
57984.231  1.702 GFC         Pan-STARRS  i       17.87  0.06  0.00 2017Natur.551...75S *         
57984.231  1.702 GFC         Pan-STARRS  y       17.58  0.11  0.00 2017Natur.551...75S *         
57984.231  1.702 GFC         Pan-STARRS  z       17.78  0.07  0.00 2017Natur.551...75S *         
57984.309  1.780 Tripol5     B&C         g       18.80  0.07  0.00 2017arXiv171005848U *         
57984.309  1.780 Tripol5     B&C         i       18.19  0.06  0.00 2017arXiv171005848U *         
57984.309  1.780 Tripol5     B&C         r       18.26  0.04  0.00 2017arXiv171005848U *         
57984.357  1.828 Sinistro    LCO1m       w       18.69  0.05  0.00 2017Natur.551...64A         X 
57984.359  1.830 -           KMTNet-SSO  B       20.10  0.12  0.00 2017Natur.551...71T *         
57984.359  1.830 -           KMTNet-SSO  V       18.79  0.05  0.00 2017Natur.551...71T *         
57984.361  1.832 Sinistro    LCO1m       i       18.07  0.13 -0.30 2017Natur.551...64A *         
57984.365  1.836 Sinistro    LCO1m       r       18.34  0.11 -0.06 2017Natur.551...64A *         
57984.369  1.840 -           KMTNet-SSO  I       17.98  0.09  0.00 2017Natur.551...71T *         
57984.369  1.840 -           KMTNet-SSO  R       18.34  0.05  0.00 2017Natur.551...71T *         
57984.369  1.840 Sinistro    LCO1m       g       19.28  0.17 -0.25 2017Natur.551...64A *         
57984.379  1.850 Skymapper   Skymapper   i       17.96  0.07  0.00 2017arXiv171005846A *         
57984.392  1.863 Skymapper   Skymapper   i       18.18  0.08  0.00 2017arXiv171005846A *         
57984.456  1.927 Skymapper   Skymapper   r       18.46  0.17  0.00 2017arXiv171005846A *         
57984.601  2.072 UVOT        Swift       M2    > 21.97        0.00 2017arXiv171005437E *         
57984.606  2.077 UVOT        Swift       W1    > 21.79        0.00 2017arXiv171005437E *         
57984.628  2.099 UVOT        Swift       W2    > 21.98        0.00 2017arXiv171005437E *         
57984.699  2.170 SIRIUS      IRSF        H       17.52  0.04  0.00 2017arXiv171005848U *         
57984.699  2.170 SIRIUS      IRSF        J       17.69  0.04  0.00 2017arXiv171005848U *         
57984.699  2.170 SIRIUS      IRSF        Ks      17.61  0.04  0.00 2017arXiv171005848U *         
57984.717  2.188 MASTER      SAAO        W       18.40  0.20  0.00 2017ApJ...850L...1L *         
57984.719  2.190 -           KMTNet-SAAO B       20.45  0.09  0.00 2017Natur.551...71T *         
57984.719  2.190 -           KMTNet-SAAO I       18.26  0.12  0.00 2017Natur.551...71T *         
57984.719  2.190 -           KMTNet-SAAO R       18.59  0.05  0.00 2017Natur.551...71T *         
57984.719  2.190 -           KMTNet-SAAO V       19.25  0.05  0.00 2017Natur.551...71T *         
57984.738  2.209 Sinistro    LCO1m       r       18.93  0.10 -0.10 2017Natur.551...64A *         
57984.741  2.212 Sinistro    LCO1m       r       18.90  0.11 -0.10 2017Natur.551...64A *         
57984.745  2.216 Sinistro    LCO1m       i       18.33  0.12 -0.41 2017Natur.551...64A *         
57984.748  2.219 Sinistro    LCO1m       i       18.26  0.15 -0.38 2017Natur.551...64A *         
57984.749  2.220 MASTER      SAAO        R       18.00  0.30  0.00 2017ApJ...850L...1L *     O   
57984.751  2.222 Sinistro    LCO1m       V       19.06  0.07  0.00 2017Natur.551...64A *         
57984.751  2.222 Sinistro    LCO1m       z       18.25  0.30 -0.58 2017Natur.551...64A *         
57984.757  2.228 MASTER      SAAO        B     > 19.50        0.00 2017ApJ...850L...1L *         
